time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-25 00:00:00+00:00,13,3,23,1
2026-05-26 00:00:00+00:00,23,10,8,1
2026-05-27 00:00:00+00:00,11,5,2,1
2026-05-28 00:00:00+00:00,14,5,11,1
2026-05-29 00:00:00+00:00,20,7,5,2
2026-05-30 00:00:00+00:00,12,6,0,0
2026-05-31 00:00:00+00:00,19,9,0,0
2026-06-01 00:00:00+00:00,18,7,0,0
2026-06-02 00:00:00+00:00,17,7,0,0
2026-06-03 00:00:00+00:00,1,1,0,0
2026-06-04 00:00:00+00:00,7,3,9,1
2026-06-05 00:00:00+00:00,13,6,14,1
2026-06-06 00:00:00+00:00,13,7,0,0
2026-06-07 00:00:00+00:00,22,8,0,0
